Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Maine,ME,Total,Total,26.7,25.5,27.8,26.7 (25.5-27.8),24.7% - 30.2%,76-100th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Massachusetts,MA,Total,Total,21.1,20.0,22.1,21.1 (20.0-22.1),19.7% - 21.7%,26-50th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Hampshire,NH,Total,Total,22.9,21.3,24.5,22.9 (21.3-24.5),21.9% - 24.6%,51-75th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Jersey,NJ,Total,Total,13.3,12.3,14.3,13.3 (12.3-14.3),13.3% - 19.2%,0-25th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New York,NY,Total,Total,15.9,15.4,16.5,15.9 (15.4-16.5),13.3% - 19.2%,0-25th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Pennsylvania,PA,Total,Total,22.0,20.2,23.9,22.0 (20.2-23.9),21.9% - 24.6%,51-75th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Rhode Island,RI,Total,Total,24.9,23.4,26.5,24.9 (23.4-26.5),24.7% - 30.2%,76-100th percentile
2024,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Vermont,VT,Total,Total,26.4,25.0,27.9,26.4 (25.0-27.9),24.7% - 30.2%,76-100th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Connecticut,CT,Total,Total,18.7,17.5,20.0,18.7 (17.5-20.0),18.7% - 21.7%,26-50th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Maine,ME,Total,Total,25.8,24.6,27.0,25.8 (24.6-27.0),24.1% - 31.1%,76-100th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Massachusetts,MA,Total,Total,22.4,21.1,23.6,22.4 (21.1-23.6),21.9% - 23.8%,51-75th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Hampshire,NH,Total,Total,22.0,20.4,23.5,22.0 (20.4-23.5),21.9% - 23.8%,51-75th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Jersey,NJ,Total,Total,13.9,12.8,14.9,13.9 (12.8-14.9),8.4% - 18.1%,0-25th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New York,NY,Total,Total,16.4,15.6,17.2,16.4 (15.6-17.2),8.4% - 18.1%,0-25th percentile
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Rhode Island,RI,Total,Total,21.7,20.1,23.3,21.7 (20.1-23.3),18.7% - 21.7%,26-50th percentile
