Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2023,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Vermont,VT,Total,Total,25.8,24.3,27.3,25.8 (24.3-27.3),24.1% - 31.1%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Connecticut,CT,Total,Total,19.3,18.1,20.4,19.3 (18.1-20.4),19.2% - 21.6%,26-50th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Maine,ME,Total,Total,26.3,24.9,27.6,26.3 (24.9-27.6),24.5% - 29.2%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Massachusetts,MA,Total,Total,21.6,20.5,22.7,21.6 (20.5-22.7),19.2% - 21.6%,26-50th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Hampshire,NH,Total,Total,25.2,23.5,26.8,25.2 (23.5-26.8),24.5% - 29.2%,76-100th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New Jersey,NJ,Total,Total,14.6,13.5,15.7,14.6 (13.5-15.7),9.5% - 18.5%,0-25th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",New York,NY,Total,Total,17.8,17,18.6,17.8 (17-18.6),9.5% - 18.5%,0-25th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Pennsylvania,PA,Total,Total,21.7,19.8,23.6,21.7 (19.8-23.6),21.7% - 24.0%,51-75th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Rhode Island,RI,Total,Total,22.3,20.7,23.9,22.3 (20.7-23.9),21.7% - 24.0%,51-75th percentile
2022,"Have you ever been told you have a depressive disorder (including depression, major depression, dysthymia, or minor depression)?",Vermont,VT,Total,Total,24.8,23.5,26.1,24.8 (23.5-26.1),24.5% - 29.2%,76-100th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Connecticut,CT,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Maine,ME,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Massachusetts,MA,Total,Total,31.3,29.9,32.7,31.3 (29.9-32.7),29.7% - 31.3%,26-50th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Hampshire,NH,Total,Total,29.1,27.2,30.9,29.1 (27.2-30.9),26.3% - 29.5%,0-25th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New Jersey,NJ,Total,Total,29.7,28.3,31.2,29.7 (28.3-31.2),29.7% - 31.3%,26-50th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),New York,NY,Total,Total,32.4,31.2,33.7,32.4 (31.2-33.7),31.9% - 32.9%,51-75th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Pennsylvania,PA,Total,Total,N/A,N/A,N/A,N/A,N/A,N/A
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Rhode Island,RI,Total,Total,32.1,30.2,34.0,32.1 (30.2-34.0),31.9% - 32.9%,51-75th percentile
2024,How often do you feel socially isolated from others? (Reworded for 2023-2025: How often do you feel lonely?) (optional module),Vermont,VT,Total,Total,29.2,27.6,30.8,29.2 (27.6-30.8),26.3% - 29.5%,0-25th percentile
