Label (Grouping),Connecticut!!Total!!Estimate,Connecticut!!Total!!Margin of Error,Connecticut!!Below poverty level!!Estimate,Connecticut!!Below poverty level!!Margin of Error,Connecticut!!Percent below poverty level!!Estimate,Connecticut!!Percent below poverty level!!Margin of Error,Maine!!Total!!Estimate,Maine!!Total!!Margin of Error,Maine!!Below poverty level!!Estimate,Maine!!Below poverty level!!Margin of Error,Maine!!Percent below poverty level!!Estimate,Maine!!Percent below poverty level!!Margin of Error,Massachusetts!!Total!!Estimate,Massachusetts!!Total!!Margin of Error,Massachusetts!!Below poverty level!!Estimate,Massachusetts!!Below poverty level!!Margin of Error,Massachusetts!!Percent below poverty level!!Estimate,Massachusetts!!Percent below poverty level!!Margin of Error,New Hampshire!!Total!!Estimate,New Hampshire!!Total!!Margin of Error,New Hampshire!!Below poverty level!!Estimate,New Hampshire!!Below poverty level!!Margin of Error,New Hampshire!!Percent below poverty level!!Estimate,New Hampshire!!Percent below poverty level!!Margin of Error,New Jersey!!Total!!Estimate,New Jersey!!Total!!Margin of Error,New Jersey!!Below poverty level!!Estimate,New Jersey!!Below poverty level!!Margin of Error,New Jersey!!Percent below poverty level!!Estimate,New Jersey!!Percent below poverty level!!Margin of Error,New York!!Total!!Estimate,New York!!Total!!Margin of Error,New York!!Below poverty level!!Estimate,New York!!Below poverty level!!Margin of Error,New York!!Percent below poverty level!!Estimate,New York!!Percent below poverty level!!Margin of Error,Pennsylvania!!Total!!Estimate,Pennsylvania!!Total!!Margin of Error,Pennsylvania!!Below poverty level!!Estimate,Pennsylvania!!Below poverty level!!Margin of Error,Pennsylvania!!Percent below poverty level!!Estimate,Pennsylvania!!Percent below poverty level!!Margin of Error,Rhode Island!!Total!!Estimate,Rhode Island!!Total!!Margin of Error,Rhode Island!!Below poverty level!!Estimate,Rhode Island!!Below poverty level!!Margin of Error,Rhode Island!!Percent below poverty level!!Estimate,Rhode Island!!Percent below poverty level!!Margin of Error,Vermont!!Total!!Estimate,Vermont!!Total!!Margin of Error,Vermont!!Below poverty level!!Estimate,Vermont!!Below poverty level!!Margin of Error,Vermont!!Percent below poverty level!!Estimate,Vermont!!Percent below poverty level!!Margin of Error
        65 years and over,"652,611",±419,"57,205","±2,196",8.8%,±0.3,"300,495",±492,"28,201","±1,126",9.4%,±0.4,"1,223,851",±604,"130,591","±2,633",10.7%,±0.2,"272,022",±406,"20,980","±1,217",7.7%,±0.4,"1,570,419",±695,"152,632","±3,593",9.7%,±0.2,"3,462,393","±1,032","458,992","±6,701",13.3%,±0.2,"2,453,040",±919,"242,106","±4,028",9.9%,±0.2,"198,670",±411,"21,926","±1,267",11.0%,±0.6,"135,371",±318,"11,726",±806,8.7%,±0.6
    SEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Male,"1,731,803","±1,348","154,675","±4,250",8.9%,±0.2,"663,623","±1,006","65,103","±2,378",9.8%,±0.4,"3,337,107","±1,420","301,378","±5,899",9.0%,±0.2,"677,157",±790,"41,983","±2,062",6.2%,±0.3,"4,506,773","±1,561","390,574","±7,648",8.7%,±0.2,"9,444,277","±2,878","1,220,786","±15,092",12.9%,±0.2,"6,197,469","±2,680","650,390","±10,298",10.5%,±0.2,"520,770",±827,"50,698","±2,412",9.7%,±0.5,"310,837",±536,"28,542","±1,439",9.2%,±0.5
        Female,"1,798,367","±1,385","198,929","±5,592",11.1%,±0.3,"683,904",±943,"79,727","±2,247",11.7%,±0.3,"3,481,965","±1,758","383,170","±6,019",11.0%,±0.2,"678,143",±845,"56,265","±2,467",8.3%,±0.4,"4,673,461","±1,621","501,317","±8,326",10.7%,±0.2,"9,918,140","±3,268","1,490,956","±16,431",15.0%,±0.2,"6,403,451","±2,494","825,106","±10,788",12.9%,±0.2,"539,582",±876,"67,666","±2,819",12.5%,±0.5,"313,446",±600,"34,207","±1,631",10.9%,±0.5
    RACE AND HISPANIC OR LATINO ORIGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        White alone,"2,301,807","±5,695","160,553","±5,273",7.0%,±0.2,"1,222,596","±2,591","126,042","±3,666",10.3%,±0.3,"4,689,208","±8,380","351,334","±6,735",7.5%,±0.1,"1,193,971","±2,423","82,308","±3,346",6.9%,±0.3,"4,958,166","±8,940","338,008","±9,025",6.8%,±0.2,"10,692,867","±10,808","1,084,057","±15,271",10.1%,±0.1,"9,406,884","±9,440","826,548","±9,860",8.8%,±0.1,"744,704","±2,994","61,013","±2,624",8.2%,±0.3,"567,837","±1,149","53,996","±2,311",9.5%,±0.4
        Black or African American alone,"368,657","±3,982","61,670","±3,303",16.7%,±0.9,"23,555",±994,"6,155",±973,26.1%,±3.9,"460,897","±5,625","77,430","±3,900",16.8%,±0.9,"18,338","±1,146","2,059",±556,11.2%,±2.9,"1,153,662","±5,344","179,380","±6,871",15.5%,±0.6,"2,751,273","±9,994","581,589","±12,761",21.1%,±0.4,"1,310,728","±6,741","310,196","±9,112",23.7%,±0.7,"57,566","±2,349","9,166","±1,490",15.9%,±2.7,"6,627",±478,"1,163",±417,17.5%,±5.9
        American Indian and Alaska Native alone,"11,222","±1,268","2,335",±577,20.8%,±4.3,"5,588",±410,"1,079",±149,19.3%,±2.5,"16,446","±1,839","2,857",±657,17.4%,±3.9,"1,813",±348,111,±78,6.1%,±4.3,"51,897","±3,098","8,318","±1,320",16.0%,±2.1,"111,111","±4,337","25,889","±2,363",23.3%,±1.7,"24,800","±2,914","6,034","±2,223",24.3%,±7.0,"5,280","±1,062",720,±349,13.6%,±6.6,944,±190,205,±99,21.7%,±9.0
        Asian alone,"169,825","±1,828","14,647","±1,776",8.6%,±1.0,"14,585",±810,"1,719",±388,11.8%,±2.6,"487,506","±3,447","52,122","±2,804",10.7%,±0.5,"34,745","±1,024","2,031",±496,5.8%,±1.4,"936,843","±3,139","54,822","±2,761",5.9%,±0.3,"1,751,511","±5,908","249,834","±6,773",14.3%,±0.4,"483,171","±3,255","58,654","±3,306",12.1%,±0.7,"36,356","±1,007","4,136",±783,11.4%,±2.1,"10,878",±460,"1,587",±432,14.6%,±4.0
        Native Hawaiian and Other Pacific Islander alone,"1,752",±554,590,±282,33.7%,±12.7,352,±73,76,±39,21.6%,±10.2,"2,012",±446,568,±289,28.2%,±10.7,312,±160,41,±35,13.1%,±12.4,"2,495",±396,340,±141,13.6%,±5.3,"8,808","±1,201","1,956",±454,22.2%,±5.2,"3,346",±628,578,±185,17.3%,±5.8,813,±269,367,±280,45.1%,±32.2,46,±24,7,±13,15.2%,±23.8
